Start Signal,End Signal,Min Rise Delay,Max Rise Delay,Min Fall Delay,Max Fall Delay,Estimated Depth,Mapped Start Signal
B1,X,0.1603008604561751,0.4257672113161928,0.2186862697271371,0.752695538313298,4.257672113161927,_1864_
B2,X,0.1533396786281728,0.4018156754391682,0.1916400425925973,0.6795492139121163,4.018156754391682,_1843_
A1_N,X,0.2129291525589697,0.6491953269823394,0.1614193546739669,0.732051551209205,6.4919532698233935,_0995_
A2_N,X,0.2166447360605666,0.66265073082098,0.1630037401194311,0.7815306956135865,6.6265073082098,A2_N
B1,X,0.1400097716282276,0.3785429576941733,0.2068361790385668,0.7243330584791121,3.7854295769417328,_1864_
B2,X,0.1537978954389705,0.4401608091483268,0.1961024037550408,0.7144004479083897,4.401608091483268,_1843_
A,X,0.1172801750022398,0.29694286758847,0.2571953833816706,0.996030619507796,2.9694286758847,key_in[15]
B,X,0.1265632079406705,0.3295393773358399,0.2465455687167564,0.9665777340991356,3.2953937733583984,_1780_
C_N,X,0.1646967331353509,0.4622773961139306,0.2448188943088745,0.9938267157192818,4.6227739611393055,_1473_
A1,Y,0.0905717609880718,0.2366949758742978,0.0526539243776006,0.2385158804640599,2.3669497587429777,_1852_
A2,Y,0.0901094016574964,0.2510150491845467,0.0411835611992141,0.1755140943372073,2.510150491845467,_1841_
B1,Y,0.0677590641663407,0.2087302056943562,0.0312022881641673,0.1825738084614317,2.087302056943562,_1864_
A,Y,0.0894027516212309,0.2280160291784382,0.0498176618225044,0.2144394028598679,2.280160291784382,key_in[15]
A1,X,0.1150347627492187,0.3850627148351002,0.1534234310799617,0.4754894945698435,3.8506271483510015,_1852_
A2,X,0.1148072711061452,0.3957096984312215,0.1539756143946636,0.4951370564811547,3.957096984312215,_1841_
B1,X,0.1052370650964856,0.3630700010069723,0.1238293530541514,0.4290591059440343,3.630700010069723,_1864_
B2,X,0.1006296949251371,0.3795730226455527,0.1103071970542673,0.3968038232529335,3.795730226455527,_1843_
A,Y,0.0432348509508893,0.1199937960735629,0.0235452965872076,0.1057531661618667,1.199937960735629,key_in[15]
A,Y,0.0613741227988856,0.1672447505600797,0.0284400011590728,0.1431602377165198,1.672447505600797,key_in[15]
A,Y,0.1115496962485229,0.2900220701241307,0.0460300213751245,0.1704445799410005,2.9002207012413073,key_in[15]
B,Y,0.0905779921149738,0.2245197286081944,0.0321591998244959,0.1035576376185315,2.245197286081944,_1780_
A1,X,0.0804048239635873,0.2790430465675289,0.1127395986254994,0.3405776035369042,2.7904304656752887,_1852_
A2,X,0.0737615961410422,0.2368267038398951,0.1155407677236841,0.3265380558373363,2.368267038398951,_1841_
B1,X,0.0585574591501753,0.2189825605052136,0.0688998738675586,0.291999155342299,2.189825605052136,_1864_
